      |    PRODUCTION   |       GOAL      | VISUAL-LOCATION |      VISUAL     |      MANUAL     |
0.000 |  +START-FIND-U+ | .     GOAL      | .VISUAL-LOCATIO |                 |                 |
0.025 |  ************** | .               | .               |                 |                 |
0.050 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
0.075 |  ************** | .               | .               |                 |                 |
0.100 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
0.125 |                 | .               |                 |  ************** |  ************** |
0.140 |                 | .               |                 |  ************** |  ************** |
0.150 |                 | .               |                 |  ************** |  ************** |
0.160 |                 | .               |                 |  ************** |  ************** |
0.180 |                 | .               |                 |  ************** |  ************** |
0.185 |                 | .               |                 | .     TEXT0     |  ************** |
0.200 |                 | .               |                 | .               |  ************** |
0.220 |                 | .               |                 | .               |  ************** |
0.240 |                 | .               |                 | .               |  ************** |
0.260 |                 | .               |                 | .               |  ************** |
0.280 |                 | .               |                 | .               |  ************** |
0.300 |                 | .               |                 | .               |  ************** |
0.320 |                 | .               |                 | .               |  ************** |
0.330 |                 | .               |                 | .               |  ************** |
0.340 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
0.365 |  ************** | .               |                 | .               |                 |
0.390 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
0.415 |                 | .               |                 | .               |  ************** |
0.420 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 5 #(5 306).
0.430 |                 | .               |                 | .               |  ************** |
0.440 |                 | .               | .VISUAL-LOCATIO | .               |  ************** |
0.450 |  +READ-FIRST-T+ | .               | .               | .               |                 |
0.475 |  ************** | .               | .               | .               |                 |
0.500 |  ************** | .    =======    | .               | .    -------    |                 |
0.525 |                 | .               | .               |                 |                 |
0.550 |                 | .               | .               |                 |                 |
0.575 |                 | .               | .               |                 |                 |
0.600 |                 | .               | .               |                 |                 |
0.625 |                 | .               | .               |                 |                 |
0.650 |                 | .               | .               |                 |                 |
0.675 |                 | .               | .               |                 |                 |
0.700 |  +FIND-RANDOM-+ | .               | .               |                 |                 |
0.725 |  ************** | .               | .               |                 |                 |
0.750 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
0.775 |  ************** | .               | .               |                 |                 |
0.800 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
0.825 |                 | .               |                 |  ************** |  ************** |
0.840 |                 | .               |                 |  ************** |  ************** |
0.850 |                 | .               |                 |  ************** |  ************** |
0.860 |                 | .               |                 |  ************** |  ************** |
0.880 |                 | .               |                 |  ************** |  ************** |
0.885 |                 | .               |                 | .     TEXT1     |  ************** |
0.900 |                 | .               |                 | .               |  ************** |
0.920 |                 | .               |                 | .               |  ************** |
0.940 |                 | .               |                 | .               |  ************** |
0.960 |                 | .               |                 | .               |  ************** |
0.981 |                 | .               |                 | .               |  ************** |
0.991 |  +CLICK-SECOND+ | .               |                 | .               |                 |
1.016 |  ************** | .               |                 | .               |                 |
1.041 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
1.066 |                 | .               |                 | .               |  ************** |
1.071 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 8 #(205 306).
1.081 |                 | .               |                 | .               |  ************** |
1.091 |                 | .               |                 | .               |  ************** |
1.101 |  +READ-SECOND-+ | .               |                 | .               |                 |
1.126 |  ************** | .               |                 | .               |                 |
1.151 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
1.176 |  ************** | .               |                 | .               |                 |
1.201 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
1.226 |  ************** | .               |                 |                 |                 |
1.251 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
1.276 |  ************** | .               | .               |                 |                 |
1.301 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
1.326 |                 | .               |                 |  ************** |  ************** |
1.341 |                 | .               |                 |  ************** |  ************** |
1.351 |                 | .               |                 |  ************** |  ************** |
1.361 |                 | .               |                 |  ************** |  ************** |
1.381 |                 | .               |                 |  ************** |  ************** |
1.386 |                 | .               |                 | .     TEXT2     |  ************** |
1.401 |                 | .               |                 | .               |  ************** |
1.409 |                 | .               |                 | .               |  ************** |
1.419 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
1.444 |  ************** | .               |                 | .               |                 |
1.469 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
1.494 |                 | .               |                 | .               |  ************** |
1.499 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 6 #(305 206).
1.509 |                 | .               |                 | .               |  ************** |
1.519 |                 | .               |                 | .               |  ************** |
1.529 |  +READ-FIRST-T+ | .               |                 | .               |                 |
1.554 |  ************** | .               |                 | .               |                 |
1.579 |  ************** | .    =======    |                 | .    -------    |                 |
1.604 |                 | .               |                 |                 |                 |
1.629 |                 | .               |                 |                 |                 |
1.654 |                 | .               |                 |                 |                 |
1.679 |                 | .               |                 |                 |                 |
1.704 |                 | .               |                 |                 |                 |
1.729 |                 | .               |                 |                 |                 |
1.754 |                 | .               |                 |                 |                 |
1.779 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
1.804 |  ************** | .               |                 |                 |                 |
1.829 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
1.854 |  ************** | .               | .               |                 |                 |
1.879 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
1.904 |                 | .               |                 |  ************** |  ************** |
1.919 |                 | .               |                 |  ************** |  ************** |
1.929 |                 | .               |                 |  ************** |  ************** |
1.939 |                 | .               |                 |  ************** |  ************** |
1.959 |                 | .               |                 |  ************** |  ************** |
1.964 |                 | .               |                 | .     TEXT3     |  ************** |
1.987 |                 | .               |                 | .               |  ************** |
1.997 |  +CLICK-SECOND+ | .               |                 | .               |                 |
2.022 |  ************** | .               |                 | .               |                 |
2.047 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
2.072 |                 | .               |                 | .               |  ************** |
2.077 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 3 #(305 306).
2.087 |                 | .               |                 | .               |  ************** |
2.097 |                 | .               |                 | .               |  ************** |
2.107 |                 | .               |                 | .               |                 |
2.132 |                 | .               |                 | .               |                 |
2.157 |                 | .               |                 | .               |                 |
2.182 |                 | .               |                 | .               |                 |
2.201 |  +READ-SECOND-+ | .               |                 | .               |                 |
2.226 |  ************** | .               |                 | .               |                 |
2.251 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
2.276 |  ************** | .               |                 | .               |                 |
2.301 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
2.326 |  ************** | .               |                 |                 |                 |
2.351 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
2.376 |  ************** | .               | .               |                 |                 |
2.401 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
2.426 |                 | .               |                 |  ************** |  ************** |
2.441 |                 | .               |                 |  ************** |  ************** |
2.451 |                 | .               |                 |  ************** |  ************** |
2.461 |                 | .               |                 |  ************** |  ************** |
2.481 |                 | .               |                 |  ************** |  ************** |
2.486 |                 | .               |                 | .     TEXT4     |  ************** |
2.501 |                 | .               |                 | .               |  ************** |
2.521 |                 | .               |                 | .               |  ************** |
2.541 |                 | .               |                 | .               |  ************** |
2.561 |                 | .               |                 | .               |  ************** |
2.581 |                 | .               |                 | .               |  ************** |
2.591 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
2.616 |  ************** | .               |                 | .               |                 |
2.641 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
2.666 |                 | .               |                 | .               |  ************** |
2.671 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 5 #(105 106).
2.681 |                 | .               |                 | .               |  ************** |
2.691 |                 | .               |                 | .               |  ************** |
2.701 |  +READ-FIRST-T+ | .               |                 | .               |                 |
2.726 |  ************** | .               |                 | .               |                 |
2.751 |  ************** | .    =======    |                 | .    -------    |                 |
2.776 |                 | .               |                 |                 |                 |
2.801 |                 | .               |                 |                 |                 |
2.826 |                 | .               |                 |                 |                 |
2.851 |                 | .               |                 |                 |                 |
2.876 |                 | .               |                 |                 |                 |
2.901 |                 | .               |                 |                 |                 |
2.926 |                 | .               |                 |                 |                 |
2.951 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
2.976 |  ************** | .               |                 |                 |                 |
3.001 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
3.026 |  ************** | .               | .               |                 |                 |
3.051 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
3.076 |                 | .               |                 |  ************** |  ************** |
3.091 |                 | .               |                 |  ************** |  ************** |
3.101 |                 | .               |                 |  ************** |  ************** |
3.111 |                 | .               |                 |  ************** |  ************** |
3.131 |                 | .               |                 |  ************** |  ************** |
3.136 |                 | .               |                 | .     TEXT5     |  ************** |
3.159 |                 | .               |                 | .               |  ************** |
3.169 |  +CLICK-SECOND+ | .               |                 | .               |                 |
3.194 |  ************** | .               |                 | .               |                 |
3.219 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
3.244 |                 | .               |                 | .               |  ************** |
3.249 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 4 #(5 206).
3.259 |                 | .               |                 | .               |  ************** |
3.269 |                 | .               |                 | .               |  ************** |
3.279 |                 | .               |                 | .               |                 |
3.301 |  +READ-SECOND-+ | .               |                 | .               |                 |
3.326 |  ************** | .               |                 | .               |                 |
3.351 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
3.376 |  ************** | .               |                 | .               |                 |
3.401 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
3.426 |  ************** | .               |                 |                 |                 |
3.451 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
3.476 |  ************** | .               | .               |                 |                 |
3.501 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
3.526 |                 | .               |                 |  ************** |  ************** |
3.541 |                 | .               |                 |  ************** |  ************** |
3.551 |                 | .               |                 |  ************** |  ************** |
3.561 |                 | .               |                 |  ************** |  ************** |
3.581 |                 | .               |                 |  ************** |  ************** |
3.586 |                 | .               |                 | .     TEXT6     |  ************** |
3.601 |                 | .               |                 | .               |  ************** |
3.621 |                 | .               |                 | .               |  ************** |
3.641 |                 | .               |                 | .               |  ************** |
3.661 |                 | .               |                 | .               |  ************** |
3.682 |                 | .               |                 | .               |  ************** |
3.692 |  +CLICK-FIRST-+ | .               |                 | .               |                 |
3.717 |  ************** | .               |                 | .               |                 |
3.742 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
3.767 |                 | .               |                 | .               |  ************** |
3.772 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 7 #(5 6).
3.782 |                 | .               |                 | .               |  ************** |
3.792 |                 | .               |                 | .               |  ************** |
3.802 |  +READ-FIRST-T+ | .               |                 | .               |                 |
3.827 |  ************** | .               |                 | .               |                 |
3.852 |  ************** | .    =======    |                 | .    -------    |                 |
3.877 |                 | .               |                 |                 |                 |
3.902 |                 | .               |                 |                 |                 |
3.927 |                 | .               |                 |                 |                 |
3.952 |                 | .               |                 |                 |                 |
3.977 |                 | .               |                 |                 |                 |
4.002 |                 | .               |                 |                 |                 |
4.027 |                 | .               |                 |                 |                 |
4.052 |  +FIND-RANDOM-+ | .               |                 |                 |                 |
4.077 |  ************** | .               |                 |                 |                 |
4.102 |  +ATTEND-SECON+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
4.127 |  ************** | .               | .               |                 |                 |
4.152 |  ************** | .    =======    | .    -------    |  +MOVE-ATTENTI+ |  + MOVE-CURSOR+ |
4.177 |                 | .               |                 |  ************** |  ************** |
4.192 |                 | .               |                 |  ************** |  ************** |
4.202 |                 | .               |                 |  ************** |  ************** |
4.212 |                 | .               |                 |  ************** |  ************** |
4.232 |                 | .               |                 |  ************** |  ************** |
4.237 |                 | .               |                 | .     TEXT7     |  ************** |
4.252 |                 | .               |                 | .               |  ************** |
4.272 |                 | .               |                 | .               |  ************** |
4.292 |                 | .               |                 | .               |  ************** |
4.312 |                 | .               |                 | .               |  ************** |
4.333 |                 | .               |                 | .               |  ************** |
4.343 |  +CLICK-SECOND+ | .               |                 | .               |                 |
4.368 |  ************** | .               |                 | .               |                 |
4.393 |  ************** | .    =======    |                 | .               |  + CLICK-MOUSE+ |
4.401 |                 | .               |                 | .               |  ************** |
4.423 |                 | .               |                 | .               |  ************** |
*** CONCENTRATION: Clicked 2 #(105 206).
4.433 |                 | .               |                 | .               |  ************** |
4.443 |                 | .               |                 | .               |  ************** |
4.453 |  +READ-SECOND-+ | .               |                 | .               |                 |
4.478 |  ************** | .               |                 | .               |                 |
4.503 |  +NO-MATCH-FOU+ | .    =======    |                 | .               |                 |
4.528 |  ************** | .               |                 | .               |                 |
4.553 |  +START-FIND-U+ | .    =======    |                 | .    -------    |                 |
4.578 |  ************** | .               |                 |                 |                 |
4.603 |  +ATTEND-FIRST+ | .    =======    | .VISUAL-LOCATIO |                 |                 |
4.628 |  ************** | .               | .               |                 |                 |
