     0.000   GOAL                   SET-BUFFER-CHUNK GOAL GOAL REQUESTED NIL 
     0.000   VISION                 SET-BUFFER-CHUNK VISUAL-LOCATION VISUAL-LOCATION3-0 REQUESTED NIL 
     0.000   PROCEDURAL             CONFLICT-RESOLUTION 
     0.050   PROCEDURAL             PRODUCTION-FIRED START-FIND-UNATTENDED 
     0.050   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     0.050   VISION                 Find-location 
     0.050   VISION                 SET-BUFFER-CHUNK VISUAL-LOCATION VISUAL-LOCATION11-0 
     0.050   PROCEDURAL             CONFLICT-RESOLUTION 
     0.100   PROCEDURAL             PRODUCTION-FIRED ATTEND-FIRST-TILE 
     0.100   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     0.100   PROCEDURAL             CLEAR-BUFFER VISUAL 
     0.100   PROCEDURAL             CLEAR-BUFFER MANUAL 
     0.100   MOTOR                  MOVE-CURSOR OBJECT NIL LOC VISUAL-LOCATION11-0-0 
     0.100   PROCEDURAL             CONFLICT-RESOLUTION 
     0.140   PROCEDURAL             CONFLICT-RESOLUTION 
     0.141   PROCEDURAL             CONFLICT-RESOLUTION 
     0.142   PROCEDURAL             CONFLICT-RESOLUTION 
     0.143   PROCEDURAL             CONFLICT-RESOLUTION 
     0.144   PROCEDURAL             CONFLICT-RESOLUTION 
     0.145   PROCEDURAL             CONFLICT-RESOLUTION 
     0.146   PROCEDURAL             CONFLICT-RESOLUTION 
     0.147   PROCEDURAL             CONFLICT-RESOLUTION 
     0.148   PROCEDURAL             CONFLICT-RESOLUTION 
     0.149   PROCEDURAL             CONFLICT-RESOLUTION 
     0.150   PROCEDURAL             CONFLICT-RESOLUTION 
     0.151   PROCEDURAL             CONFLICT-RESOLUTION 
     0.152   PROCEDURAL             CONFLICT-RESOLUTION 
     0.153   PROCEDURAL             CONFLICT-RESOLUTION 
     0.154   PROCEDURAL             CONFLICT-RESOLUTION 
     0.155   PROCEDURAL             CONFLICT-RESOLUTION 
     0.156   PROCEDURAL             CONFLICT-RESOLUTION 
     0.157   PROCEDURAL             CONFLICT-RESOLUTION 
     0.158   PROCEDURAL             CONFLICT-RESOLUTION 
     0.159   PROCEDURAL             CONFLICT-RESOLUTION 
     0.160   PROCEDURAL             CONFLICT-RESOLUTION 
     0.161   PROCEDURAL             CONFLICT-RESOLUTION 
     0.162   PROCEDURAL             CONFLICT-RESOLUTION 
     0.163   PROCEDURAL             CONFLICT-RESOLUTION 
     0.164   PROCEDURAL             CONFLICT-RESOLUTION 
     0.165   PROCEDURAL             CONFLICT-RESOLUTION 
     0.166   PROCEDURAL             CONFLICT-RESOLUTION 
     0.167   PROCEDURAL             CONFLICT-RESOLUTION 
     0.168   PROCEDURAL             CONFLICT-RESOLUTION 
     0.169   PROCEDURAL             CONFLICT-RESOLUTION 
     0.170   PROCEDURAL             CONFLICT-RESOLUTION 
     0.171   PROCEDURAL             CONFLICT-RESOLUTION 
     0.172   PROCEDURAL             CONFLICT-RESOLUTION 
     0.173   PROCEDURAL             CONFLICT-RESOLUTION 
     0.174   PROCEDURAL             CONFLICT-RESOLUTION 
     0.175   PROCEDURAL             CONFLICT-RESOLUTION 
     0.176   PROCEDURAL             CONFLICT-RESOLUTION 
     0.177   PROCEDURAL             CONFLICT-RESOLUTION 
     0.178   PROCEDURAL             CONFLICT-RESOLUTION 
     0.179   PROCEDURAL             CONFLICT-RESOLUTION 
     0.180   PROCEDURAL             CONFLICT-RESOLUTION 
     0.181   PROCEDURAL             CONFLICT-RESOLUTION 
     0.182   PROCEDURAL             CONFLICT-RESOLUTION 
     0.183   PROCEDURAL             CONFLICT-RESOLUTION 
     0.184   PROCEDURAL             CONFLICT-RESOLUTION 
     0.185   VISION                 Encoding-complete VISUAL-LOCATION11-0-0 NIL 
     0.185   VISION                 SET-BUFFER-CHUNK VISUAL TEXT0 
     0.185   PROCEDURAL             CONFLICT-RESOLUTION 
     0.186   PROCEDURAL             CONFLICT-RESOLUTION 
     0.187   PROCEDURAL             CONFLICT-RESOLUTION 
     0.188   PROCEDURAL             CONFLICT-RESOLUTION 
     0.189   PROCEDURAL             CONFLICT-RESOLUTION 
     0.190   PROCEDURAL             CONFLICT-RESOLUTION 
     0.191   PROCEDURAL             CONFLICT-RESOLUTION 
     0.192   PROCEDURAL             CONFLICT-RESOLUTION 
     0.193   PROCEDURAL             CONFLICT-RESOLUTION 
     0.194   PROCEDURAL             CONFLICT-RESOLUTION 
     0.195   PROCEDURAL             CONFLICT-RESOLUTION 
     0.196   PROCEDURAL             CONFLICT-RESOLUTION 
     0.197   PROCEDURAL             CONFLICT-RESOLUTION 
     0.198   PROCEDURAL             CONFLICT-RESOLUTION 
     0.199   PROCEDURAL             CONFLICT-RESOLUTION 
     0.200   PROCEDURAL             CONFLICT-RESOLUTION 
     0.201   PROCEDURAL             CONFLICT-RESOLUTION 
     0.202   PROCEDURAL             CONFLICT-RESOLUTION 
